brand,n_conversations,deflection_rate,substantive_rate,thanks_rate,resolution_proxy,median_brand_turns,median_cust_turns,median_opening_words,learnability
AldiUK,6590,0.29544764795144157,0.2793626707132018,0.12169954476479515,0.030349013657056147,1.0,1.0,19.0,0.4013106666055343
McDonalds,8121,0.007018840044329516,0.07720724048762467,0.03250831178426302,0.0033247137052087182,1.0,1.0,9.0,0.4001288425171087
AskTarget,11101,0.37744347356094043,0.26439059544185206,0.11701648500135123,0.03125844518511846,1.0,1.0,21.0,0.39992378002822165
DropboxSupport,3170,0.24100946372239748,0.2946372239747634,0.15047318611987381,0.03596214511041009,1.0,1.0,21.0,0.39542633175830166
sainsburys,10748,0.22962411611462596,0.13323409006326759,0.19780424264979532,0.02837737253442501,1.0,2.0,20.0,0.3940149404481762
AskAmex,4264,0.03377110694183865,0.10436210131332083,0.15408067542213882,0.018527204502814257,2.0,2.0,20.0,0.39008030755848433
AlaskaAir,5567,0.1401113705766122,0.12196874438656367,0.22022633375246992,0.02317226513382432,1.0,1.0,20.0,0.3862246093660757
ATVIAssist,11045,0.2520597555454957,0.1180624717066546,0.08972385694884563,0.012675418741511997,1.0,1.0,19.0,0.382829870781483
ArgosHelpers,7513,0.3764142153600426,0.16850791960601624,0.19406362305337416,0.029681884733129243,1.0,2.0,22.0,0.37017691460417756
Walmart,2401,0.0024989587671803417,0.06622240733027905,0.12494793835901707,0.007496876301541024,1.0,1.0,16.0,0.36831707395993973
idea_cares,7509,0.3212145425489413,0.13543747502996403,0.05673192169396724,0.009055799707018244,2.0,2.0,21.0,0.36460976978078113
VirginAmerica,2082,0.1431316042267051,0.1378482228626321,0.16186359269932757,0.021133525456292025,1.0,1.0,20.0,0.36260548135869386
GreggsOfficial,3334,0.1739652069586083,0.10827834433113377,0.08938212357528494,0.011397720455908818,1.0,1.0,18.0,0.36092802571152277
Ask_Spectrum,18371,0.5785204942572533,0.1948179195471123,0.08137825921288988,0.007185237602743455,1.0,1.0,18.0,0.36054831076195015
Ask_WellsFargo,5991,0.37222500417292603,0.17325988983475213,0.07027207477883492,0.007010515773660491,1.0,1.0,16.0,0.35792186703721457
airtel_care,4003,0.2990257307019735,0.1383962028478641,0.09318011491381464,0.014738945790657007,1.0,1.0,19.0,0.35412714739731305
AzureSupport,3293,0.3088369268144549,0.1357424840570908,0.18341937443061038,0.0315821439416945,2.0,1.0,19.0,0.3529322120115575
AskLyft,10125,0.5838024691358025,0.22232098765432098,0.07249382716049382,0.013135802469135802,1.0,1.0,21.0,0.3518150599378937
sprintcare,13166,0.5306850979796446,0.11073978429287559,0.06007899134133374,0.006911742366702112,1.0,1.0,18.0,0.3421315330353377
TMobileHelp,22416,0.8592077087794433,0.2867594575303355,0.08016595289079229,0.00472876516773733,1.0,1.0,20.0,0.34115929007436063
Morrisons,5909,0.3665594855305466,0.06413944829920461,0.19055677779658148,0.012354036215941784,1.0,1.0,21.0,0.33845871890461854
ChaseSupport,6740,0.5455489614243323,0.17359050445103857,0.1089020771513353,0.015578635014836795,1.0,1.0,20.0,0.33805787272386995
AirbnbHelp,6026,0.693826750746764,0.25290408230999006,0.1598075008297378,0.027713242615333554,1.0,1.0,23.0,0.3330081864055904
UPSHelp,15154,0.7412564339448331,0.19381021512471955,0.09139501121816022,0.008644582288504685,1.0,1.0,22.0,0.3314308187090002
CoxHelp,4817,0.5225243927755865,0.16483288353747144,0.10193066223790741,0.012455885405854267,1.0,1.0,19.0,0.3299140764620714
AskPayPal,9435,0.7697933227344992,0.18071012188659247,0.09549549549549549,0.004345521992580816,1.0,1.0,20.0,0.31067847293460393
TacoBellTeam,3105,0.5056360708534622,0.09887278582930757,0.08148148148148149,0.010628019323671498,1.0,1.0,19.0,0.3071726495718831
comcastcares,23800,0.8303361344537815,0.0873109243697479,0.08600840336134453,0.002773109243697479,1.0,1.0,19.0,0.3064769703645672
AskPapaJohns,3153,0.6971138598160482,0.1652394544877894,0.08563273073263558,0.008880431335236283,1.0,1.0,19.0,0.2915124011373576
ATT,2000,0.619,0.1445,0.09,0.0075,1.0,1.0,21.0,0.28673679973983884
Postmates_Help,2998,0.8168779186124083,0.12975316877918613,0.06804536357571714,0.007004669779853236,1.0,1.0,21.0,0.2644804780976603
KFC_UKI_Help,2015,0.7161290322580646,0.039205955334987594,0.06054590570719603,0.0019851116625310174,1.0,1.0,22.0,0.2493731283388014
CenturyLinkHelp,2928,0.8777322404371585,0.06967213114754098,0.08299180327868852,0.0017076502732240437,1.0,1.0,20.0,0.24086653210274409
